Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
7/23/2020,AQS,100031003,1,6.7,ug/m3 LC,37,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
7/26/2020,AQS,100031003,1,9.5,ug/m3 LC,52,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
8/1/2020,AQS,100031003,1,8,ug/m3 LC,44,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
8/10/2020,AQS,100031003,1,10.2,ug/m3 LC,53,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
8/13/2020,AQS,100031003,1,8.4,ug/m3 LC,47,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
8/16/2020,AQS,100031003,1,5,ug/m3 LC,28,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
8/19/2020,AQS,100031003,1,9.7,ug/m3 LC,52,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
8/25/2020,AQS,100031003,1,11.3,ug/m3 LC,55,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
8/28/2020,AQS,100031003,1,6.7,ug/m3 LC,37,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
8/31/2020,AQS,100031003,1,3.8,ug/m3 LC,21,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
9/3/2020,AQS,100031003,1,7.1,ug/m3 LC,39,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
9/6/2020,AQS,100031003,1,6.3,ug/m3 LC,35,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
9/9/2020,AQS,100031003,1,5.5,ug/m3 LC,31,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
9/21/2020,AQS,100031003,1,3.5,ug/m3 LC,19,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
9/24/2020,AQS,100031003,1,11.7,ug/m3 LC,56,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
9/27/2020,AQS,100031003,1,3.2,ug/m3 LC,18,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
9/30/2020,AQS,100031003,1,3.1,ug/m3 LC,17,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
10/18/2020,AQS,100031003,1,8.6,ug/m3 LC,48,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
10/21/2020,AQS,100031003,1,3.8,ug/m3 LC,21,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
10/24/2020,AQS,100031003,1,4.6,ug/m3 LC,26,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
10/27/2020,AQS,100031003,1,3.4,ug/m3 LC,19,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
10/30/2020,AQS,100031003,1,1.6,ug/m3 LC,9,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
11/2/2020,AQS,100031003,1,1.8,ug/m3 LC,10,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
11/8/2020,AQS,100031003,1,17.1,ug/m3 LC,66,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
11/11/2020,AQS,100031003,1,3.1,ug/m3 LC,17,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
11/14/2020,AQS,100031003,1,7.8,ug/m3 LC,43,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
11/17/2020,AQS,100031003,1,2.7,ug/m3 LC,15,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
11/20/2020,AQS,100031003,1,8.3,ug/m3 LC,46,Bellefonte River Road Park,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.761273,-75.492047
1/4/2020,AQS,100031007,1,6.5,ug/m3 LC,36,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
1/7/2020,AQS,100031007,1,3.7,ug/m3 LC,21,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
1/13/2020,AQS,100031007,1,4.8,ug/m3 LC,27,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
1/16/2020,AQS,100031007,1,4,ug/m3 LC,22,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
1/19/2020,AQS,100031007,1,5.5,ug/m3 LC,31,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
1/22/2020,AQS,100031007,1,10.4,ug/m3 LC,53,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
1/25/2020,AQS,100031007,1,3.6,ug/m3 LC,20,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
1/28/2020,AQS,100031007,1,2.1,ug/m3 LC,12,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
1/31/2020,AQS,100031007,1,8.5,ug/m3 LC,47,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
2/3/2020,AQS,100031007,1,6.3,ug/m3 LC,35,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
2/6/2020,AQS,100031007,1,4.2,ug/m3 LC,23,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
2/9/2020,AQS,100031007,1,8.5,ug/m3 LC,47,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
2/12/2020,AQS,100031007,1,8.1,ug/m3 LC,45,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
2/15/2020,AQS,100031007,1,4.3,ug/m3 LC,24,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
2/18/2020,AQS,100031007,1,6.8,ug/m3 LC,38,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
2/21/2020,AQS,100031007,1,4.7,ug/m3 LC,26,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
2/24/2020,AQS,100031007,1,10.2,ug/m3 LC,53,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
