date,month,pm2.5_dailymean,aqi,units,site_name,site_id,state,method_code,method_desc,lat,long
2020-03-25,3,5,28,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-03-28,3,4.6,26,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-03-31,3,5.1,28,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-04-03,4,3.7,21,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-04-06,4,4.6,26,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-04-09,4,6,33,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-04-12,4,7.6,42,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-04-15,4,8.9,49,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-04-18,4,6.1,34,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-04-21,4,6.3,35,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-04-24,4,8.4,47,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-04-27,4,3.7,21,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-05-03,5,5.9,33,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-05-06,5,4.3,24,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-05-09,5,2.2,12,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-05-12,5,3.6,20,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-05-15,5,8.1,45,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-05-18,5,7.7,43,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-05-21,5,4.6,26,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-05-24,5,5.6,31,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-05-30,5,3.5,19,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-06-02,6,5.3,29,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-06-05,6,7.9,44,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-06-08,6,5.3,29,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-06-14,6,5.7,32,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-06-20,6,7.9,44,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-06-23,6,10.7,54,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-06-26,6,8.4,47,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-06-29,6,5.7,32,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-07-02,7,7.5,42,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-07-05,7,14.5,61,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-07-08,7,10.9,54,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-07-11,7,8.6,48,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-07-14,7,8.6,48,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-07-17,7,5,28,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-07-20,7,9.9,52,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-07-23,7,9.5,52,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-07-26,7,8.2,46,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-07-29,7,6.1,34,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-08-01,8,7.8,43,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-08-04,8,10.1,53,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-08-07,8,6.4,36,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-08-10,8,9.5,52,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-08-16,8,4.9,27,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-08-19,8,6.3,35,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-08-22,8,8.7,48,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-08-25,8,4,22,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-08-28,8,3.5,19,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-08-31,8,2.7,15,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
